Path	Speed	Setup	First_Delay	First_Event	Second_Delay	Second_Event	Third_Delay	Third_Event
Perfect	3	S8	WAIT	GPS_OFF	WAIT	INTERNET_ON	WAIT	ORIENTATION_PORTRAIT
Limit	1	S9	NOT_WAIT	GPS_CALIBRATED	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_NOT_CALIBRATED
Perfect	3	S2	WAIT	TAKE_A_PICTURE	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	TAKE_A_PICTURE
Long	2	S10	WAIT	INTERNET_OFF	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	INTERNET_ON
Perfect	3	S8	WAIT	RECEIVE_CALL	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	INTERNET_ON
Perfect	3	S2	WAIT	INTERNET_ON	WAIT	INTERNET_OFF	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S12	NOT_WAIT	INTERNET_OFF	WAIT	GPS_ON	NOT_WAIT	INTERNET_ON
Long	2	S4	NOT_WAIT	RECEIVE_CALL	WAIT	CANCEL_CALL	WAIT	INTERNET_ON
Long	2	S3	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	GPS_OFF	WAIT	ORIENTATION_PORTRAIT
Limit	1	S3	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL	WAIT	GPS_CALIBRATED
Perfect	3	S7	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Limit	1	S9	WAIT	RECEIVE_CALL	WAIT	GPS_OFF	WAIT	INTERNET_ON
Small	4	S11	WAIT	GPS_ON	WAIT	ORIENTATION_PORTRAIT	WAIT	GPS_ON
Limit	1	S7	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	RECEIVE_CALL	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S6	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_CALIBRATED	WAIT	INTERNET_ON
Long	2	S7	WAIT	INTERNET_OFF	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	INTERNET_ON
Small	4	S5	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	INTERNET_OFF
